account_number,account_type,balance,last_transaction_date,last_transaction_id,last_transaction_amount
AD55 9800 3103 HIRU 72ZN OO4Z,Checking,$42794.80,2019-08-06 17:37:59,1KRGyL8YEg2yWTMHqD5vBya7cTVJEcJDs3,$-1472.30
MC44 3861 7021 92SC RPFQ MNTH V74,Checking,$31978.35,2019-10-31 00:47:53,1Ko83ajhNdnYybQ92ug41XgTj1CnLwa8h2,$-1049.26
FR80 5050 6572 404W SJPQ GYX2 V04,Brokerage,$96937.16,2020-01-19 23:31:03,1NDzJgeXEgSWswaARwvUyGceZmijMQ1hss,$700.11
GR04 8323 300O HJDO 7CHA HJ4L SSJ,Savings,$70208.68,2019-11-21 23:43:54,127uyWCYqyz9MN9wuJuuaQMtmeKEJJxZvJ,$835.65
VG86 NYBB 7747 1378 4359 3537,Savings,$13157.35,2020-03-12 08:34:50,1QFnyFUAkhR2S9PZJj6B2FYYvtvUXXrVbg,$231.38
SE39 3595 6085 2007 7376 6561,Checking,$78880.44,2020-05-24 17:18:25,1Cg7aZSvWCxdmafzwcVQsXAUbFDDgPWaj2,$-871.79
GL51 1247 3515 6604 71,Checking,$92284.55,2020-06-15 17:31:48,18yLeEzZo4pfqvW3KUMnv3g8UbRSEFXyrk,$-126.01
FR44 0705 0637 82AP LGXL I0RD H03,Checking,$51122.38,2019-09-26 06:48:31,1DDNYwBQwXNJvdy1SWahiqFU4BVybFgDn2,$467.18
HR55 7447 9283 2601 0056 5,Checking,$22521.66,2020-02-11 17:19:45,16Nuq2U1KtPE8UVsfKbQGiKZwcUcLyaDME,$-675.16
MC90 3789 3470 52UY IZH2 NDFY 094,Savings,$46111.17,2020-05-30 04:18:29,17emQoi6arWYwsasEE9gngMioCqRghcRov,$727.59
IE12 YYSH 6335 3602 2487 43,Checking,$22113.19,2019-09-14 18:39:15,1AxHfCxnsneWRvYxJzKt2D7YDdt42X4X7V,$-636.73
BE22 8761 9913 4587,Savings,$97682.53,2019-11-27 14:08:19,1CBMruFpqEBXJa9xUpSNKwo5cz7nbQ28J4,$-102.05
FO40 2535 6613 6950 10,Checking,$76003.63,2020-03-14 18:10:10,1KHcJWmTbd8wnsuy6tT8MA2JPPJRPa6MWs,$555.07
ME39 4624 8234 9428 7301 35,Checking,$31186.48,2019-12-14 15:07:36,1McwLMt2G69bMmpxRc7W6w8K1zAn67FsMG,$-1144.25
AD19 8185 8082 GBB5 GBCC UFCC,Checking,$75565.10,2019-10-07 05:31:52,19CwbqGXm8AZxhMpi1MVwiVRBZ2RVE6DWZ,$627.64
KW61 JRDG S07A 7C8I 5SDW DLC6 KSVE RS,Brokerage,$63387.59,2019-09-15 02:39:01,15sAxe6NbcJVPMx8dxPMWSM3cUbUpeWhhV,$222.16
FR28 9291 6270 11IN PUA9 F6WE W16,Checking,$53244.17,2020-04-08 17:21:23,1HfkRD5Y4MVi6u8EUGWT88u5Cry9Rt7ZTm,$-189.14
PK90 IIVG 2NQP R2I5 ZB5Y SHKF,Checking,$33712.16,2020-01-30 21:43:23,1Kajn4mZk3Xqnhk8u4AFMTrw2S46QV4Beg,$-977.51
LB59 4695 LC3R 1OQG WLTP 5C94 T4UN,Savings,$55441.80,2019-07-18 04:09:10,1PEcQhzEh6thiXEhJSxcZHkLAoSWM6GXhb,$-140.25
ME44 9615 9696 9287 2755 68,Savings,$98851.94,2019-09-18 18:47:19,19t8FMDbxfed18LKrUH7qe7tDSVmiPkTyv,$-826.97
MD64 FM8T NBFL OQDE ESHU CEWQ,Checking,$75909.37,2019-08-12 17:55:11,16hti3yfuBhiASKaQRPD27wqT6AJWS9Kut,$-583.54
FR37 6758 6288 54K6 BT4Z TOKT G59,Savings,$69784.22,2019-08-19 21:40:12,19fo9SqXx6XZymDkCjMAVuGzgFksmCsFJn,$-1340.11
RS48 1911 3145 4579 3638 63,Savings,$14701.54,2019-08-20 05:22:34,1Jzpoe77qqNjLSgVc5KrizrNRxoaSUp3yF,$835.25
IS38 0623 5424 3215 9160 0132 38,Brokerage,$41784.97,2019-09-05 01:59:48,133E8YBPrjU8x3jXPa4uqZDgTSv6TKqaKE,$-242.41
MU34 WJZG 3391 1783 6116 1440 947C AZ,Checking,$31234.12,2020-03-23 06:20:35,1B4i2pS84X4KHb8WTUQRzzuzLKKGzRjEqA,$-920.77
IS64 7378 4015 5377 8745 4150 63,Brokerage,$37222.59,2019-10-22 03:56:27,1PCZswe6rFdbNz3Qow7iysjMZ2TCqZAXK,$552.77
AE14 3334 4197 4615 3570 684,Savings,$92272.81,2020-05-18 20:44:10,1BDKuaL2T1ojb6sfNHBRhjQP2ddHDzNyyV,$-496.65
NL18 UKFP 7936 1857 83,Savings,$36629.25,2020-03-23 05:27:37,1DszYHhkTjU3P91WA9ww66CPCTiCAamhjX,$-1230.87
MT11 QRPF 5201 4AYL KCT7 V7NP HR2C POU,Brokerage,$32581.10,2019-10-04 12:48:51,1E7x12GSUonSMkqWKByjBadbpGbvUnh4TD,$-496.52
MR33 0167 4986 4612 0485 1671 620,Brokerage,$20335.45,2019-11-26 05:31:28,1MDzyaqUicmh4e3C16s9WskRLZJrPYwQKi,$704.04
GR40 6301 475T E0RJ IMMN QBVL K2V,Brokerage,$78981.41,2020-01-23 07:20:17,18XzarfxVrU3vfAuLPaiCgFYCGN6hdutdK,$-268.68
DK47 5138 3243 5089 05,Savings,$86039.16,2019-12-07 19:39:42,14wkvaGfTa74H1ERdHF8kc4MCCA82r6P6Y,$-86.69
PL65 0680 6715 3109 2487 8468 1729,Brokerage,$5323.59,2020-03-05 00:56:19,1GKq1U9FLZ8G8omDUZMG1v5WwwbyBUShoZ,$50.73
BR37 4895 8011 2185 8483 2924 879B F,Checking,$54559.41,2019-10-02 22:12:56,1FrcbbnYdHUCv8JffvchdKFWt9uras9pXj,$-1237.89
BG15 JQIO 5468 79FN 8EGC 1Z,Checking,$7111.91,2019-11-09 01:16:54,1LgJS93ESDjxNmh5Pbsvn8KXpYUiFJBWBp,$751.66
RS16 4381 0513 6903 0270 82,Savings,$70827.64,2019-09-25 08:42:49,1CHJ3jbE1MV4UDyuwiBvSrxJTtuJgowaMC,$-293.04
HR57 5203 2555 3686 8866 1,Checking,$72164.81,2020-05-29 18:30:37,1CshmmvmEu9ogq5ypVk6tj9tdJhfYqx9S8,$-1338.59
IS13 5397 3563 2930 4365 8438 36,Brokerage,$36809.90,2019-10-04 10:20:42,1LH6JEn3EptBuFit62LxYsFwXr27AgSvxk,$-727.82
LI23 2224 4EUK AHD0 FBYF W,Checking,$13018.42,2020-02-15 09:28:10,1Dfi37qWwKfX59fdfDfnwJU4dW31qfxRVA,$231.81
PL82 4506 0544 0983 4493 8512 3816,Checking,$25802.02,2019-08-19 07:46:27,1B888Fnb4P4yLpusznqHE4PCD9T2teGUVQ,$-999.52
EE04 5033 0590 8586 7723,Checking,$71217.17,2019-07-15 02:11:29,14qFNgb7Q5FAgfEiNEEYsKViADT1dfgHmC,$-414.73
FR96 7305 1893 43VL Y9DU ZESY U36,Checking,$18472.22,2019-11-22 00:40:09,1GrR645yLcGpyYGczd7oFVdeqAEh4HWvm4,$-1103.91
LT22 7658 2931 1271 4656,Brokerage,$46309.34,2019-08-14 07:33:48,1GqKDagbxh2w1uXjn6g4uj7YRvHb98mcGH,$-786.41
CZ03 3647 0606 7700 2934 4805,Checking,$16883.79,2019-08-08 19:33:59,15Ze7yyGwS6HbGPGNwfHhhC1iBTGUVhAon,$330.26
NO40 1908 6085 107,Checking,$37716.83,2019-10-25 07:53:08,18fWenc8v6g5xLpvh71GpG3GvqRy9FowDW,$-1224.98
EE06 2871 3322 3792 5638,Brokerage,$50322.80,2019-10-08 22:53:19,1BTCTszAnj8SCpA7QCQ2sw2YoBVTJa4S8q,$541.06
HU74 5609 5818 9477 8128 2615 2081,Savings,$95787.71,2019-08-28 19:43:06,1pEEoK6N83SF85EM8d1x8rtg11nPKNJ8n,$-214.71
MT26 IMSD 5259 3PWM VNBG DHXL V72Z KV5,Savings,$53799.95,2019-09-07 09:14:25,18y6mEhgWqwsZfm83mZKW9HoSC56rR8FLS,$192.83
FO03 4394 9801 1354 56,Savings,$39966.12,2019-08-03 22:57:29,1N1LXG5G2zr6BSbd5aDNXssc6iRDziJbJz,$-397.82
BG08 DHKR 3114 43MG GLLF 4S,Checking,$96289.71,2020-04-06 21:39:04,1FzjRA8HBoaZSU6LUAhW5DbYnNd9advsap,$414.24
FR71 1181 5850 39BM SQNM 0WWT T86,Brokerage,$22043.23,2019-11-05 11:54:42,16teNa45E3oo7TQGMgoZyZQFSSNvMHRwVs,$861.60
BE40 8555 4632 9114,Checking,$54012.42,2019-11-14 06:26:14,14k2nDhAq5z3iiUcZed7jEPk5TvvhKx8YN,$-58.56
PK75 PHYS NMOE SLS6 ZAQY CIRK,Brokerage,$92847.19,2019-10-21 07:44:13,15fyG9rTxXSAHyR9PX8umFdxiW6jrgxsgD,$-839.78
AD77 9092 6400 9YKG HXGA RUID,Checking,$29892.18,2020-06-19 18:06:44,1Dv81fVft8jB5h3X5SGocgJbn9eqY94QDY,$745.34
DE85 1960 4411 8551 9024 46,Checking,$49051.76,2020-01-11 16:31:15,1Bsh1LN8k9fPmPJ2vKjMC21gzqPgM33Jbw,$-297.51
SI82 9902 8763 2615 694,Savings,$19987.43,2020-02-10 01:09:20,1N4bfYo71q5eB1ecTp2MWWLbYrDspqsfuc,$-561.25
FR35 3437 4797 86KL JL1Y PZN0 J19,Checking,$5631.24,2019-12-29 00:31:59,1MG1TkhHUJASvxd8RcSLfa1fcJi6iJssAM,$-1438.47
HR81 9825 5506 6849 1578 4,Savings,$12750.94,2019-07-23 23:00:18,17TCSXotLniK7CMe8zBy2rYuF5bagWoRij,$-1060.99
GI89 ZKBG 7CMO 5GZT 54ZN 6SC,Brokerage,$25757.78,2019-09-25 03:25:20,1AsJmGwADWpKaQCXuxsUdE4tHQRGfhn13d,$-703.64
DK63 7863 7640 5280 70,Checking,$9021.01,2019-11-18 08:54:04,1MhrhFxkVghu52qPgL1YeTkieVFyD5qsAY,$-404.41
SK30 6960 6267 0377 2394 5986,Checking,$90337.70,2020-01-25 23:59:01,19eR4MG3D3z4zFyqrRfe2L7k8746Gg12GD,$484.78
SA96 803V F9AT LG6V BPDG M5RJ,Checking,$6665.56,2020-03-12 21:42:45,1HLrNowXSB5r83wt7YY21qRdiBvZ7iTiMQ,$-538.12
MU63 MQIU 1020 7127 0388 0281 904C OL,Checking,$98988.67,2019-10-18 06:09:19,1GEQWv19Rgm6ZFook9z2VY4ZSEF489WGDf,$13.03
SI70 9064 4867 5781 091,Savings,$92442.88,2020-03-22 18:28:42,1722oeHfj3QmKJ4JTcxeG61QvmRTtHuusC,$-1052.97
ME67 3597 1093 5619 7196 10,Savings,$46293.30,2019-08-26 14:40:54,1FD5qaLJMcQ6R4RNwpaNzXktsGUhkTYkYN,$-925.33
ES10 9639 3011 5902 4926 8513,Savings,$43011.68,2019-06-26 11:38:48,1H22dYmLQQoygmpdFqsXdkRXWj15kC7Xcy,$-1236.51
FR70 6799 2794 69ST SZQH 2ANF V85,Savings,$23426.22,2019-07-29 07:26:14,18QN7nCDtHfNn1vD5G1bXR8vbzJ4uUJQ1d,$-983.38
GR28 9511 830T UPR6 2OAR 40GN FAE,Checking,$3054.59,2020-05-28 21:01:40,186BUqDYdN34MEUns4J5sckqu6bQ5MaYM4,$-1346.14
RO33 NJCT VWUF G18P CET9 TROR,Checking,$14292.03,2020-03-20 21:51:22,19KXtAJt9rH9HV4AkP6aaF596WudwBkPPL,$679.11
BR57 7376 8128 2600 2119 8488 210V F,Checking,$14542.03,2019-08-09 02:57:43,12GiCaf8ENc71BbgVq3B4fdYNypR99Uztt,$-1395.59
CZ85 3884 2530 4550 2508 3979,Checking,$77659.28,2020-02-20 22:02:56,158wcqAXknWnJ1cBwpvPDVi6W3p4FECoH6,$-878.85
LU75 545S BE1O HTW5 HWQL,Checking,$87811.69,2019-10-26 19:07:14,1HwZamdwPinXgw4nTgpb2j4tJsLycCciCh,$39.16
AZ96 UWNG XMH6 LVDX 8SOP FCID IAQ5,Checking,$45275.25,2020-01-22 15:55:36,1Nr3qGK58HtyrNCo7orLz9Jc9BGwL81fkR,$-924.30
CY85 9573 8281 7UJK RZLJ ATRY MXI6,Checking,$36157.51,2020-01-22 03:31:17,1FRGsyy3cukk4EsN39zuW1fxVXnM4jq5P4,$-708.17
FR72 3412 7970 95CG WSDP 5Y9J D71,Brokerage,$56162.34,2020-02-07 19:22:40,1Bp3oezYvPf9FeZdy7MTjvTNseNyWySP7P,$-1271.66
FR40 7143 8306 80BH R4IQ JMI7 A76,Brokerage,$23250.00,2019-08-10 02:01:12,1MTp34no9G26qQtq1XkKsWPKkrqr63Kdk7,$452.43
FI45 5886 9704 3493 27,Checking,$49001.02,2020-01-14 10:20:01,15S8zVLAB4HJfKZWP2A9Dbaydt4DoxJkMg,$183.95
CY69 5618 1579 DVPD EGKT TKUK T1OW,Brokerage,$31603.73,2019-11-23 04:50:12,125WJBJPmc9MXwcWNBc1wo1k6KqVFBeo81,$-1232.81
LT42 1599 0352 0446 7530,Checking,$94889.09,2019-07-04 01:37:19,1L4id4v1Z2a3AwL3fSEM2x2JAci1ScGimU,$-440.00
MR19 8774 8948 9175 3322 5405 742,Savings,$58520.23,2019-11-07 15:18:18,1P2RnvYqdgKpKh2naQcMqT5SkyDrFvGnVh,$-1072.87
GR48 8209 868R RVRP VGKS PMTX WK7,Savings,$1561.61,2020-01-06 02:06:12,1nQyC2bWn7R6P5Vv4pAHGSXGLVArUTKRx,$44.10
DK49 5683 6114 9604 57,Checking,$45218.29,2020-03-12 23:29:08,1F6DjnBRXah2GgmnfdRFJrhTwEBfYAVn63,$-563.45
IS15 0618 8372 5856 9248 3412 42,Checking,$51284.41,2019-09-07 17:46:10,1212cMEqqpMmwCbJWQ4y3k8KuE5jMe7H8o,$-418.96
SK92 8225 2325 5796 4010 7811,Checking,$92646.37,2020-01-28 23:47:29,1P32mo8etHXagrvz36DsHfNKcmPkUQH7kB,$-351.35
FR07 2949 5690 76WI R7YZ CFGG K36,Checking,$19717.60,2020-02-13 08:47:41,1JisaT8gHkR8Yjftrda52GHgav5a8rjyws,$484.54
FR92 9679 7839 36WC VZT0 V2GJ M38,Checking,$3662.43,2020-02-22 06:35:32,1N9UXk3S5FxHSTzXjoYwQzNvY1gV76rK67,$-704.57
CH94 9265 86TW WE2S NZDY E,Savings,$64026.12,2020-01-20 23:39:42,13CDa7CA7EyVJ5jDvkjvXGsnwue9dMSWXp,$481.49
VG04 MSML 4554 3631 4117 8723,Brokerage,$19998.28,2019-10-14 02:55:00,138GJMsBmLQNCBxYgPj3KzCrCJY5ipAfHo,$-948.21
EE73 9439 1773 7530 3957,Brokerage,$42775.78,2019-08-23 14:11:32,1BgZJcUe5UX7PvrqkaUkMj9vMmXkZnxx9Q,$-1316.01
GT38 MVZR QQMD LY6E ZYGD T2JU PELY,Checking,$18193.70,2019-09-26 07:28:38,13zxjimKt2BmL38sXHCyZ9hPYeLu6VungA,$-717.14
MK30 020X SNFL YBCI J37,Checking,$91378.78,2019-08-27 21:26:21,1AwgbNB7domwbzMuY5kDhDo2AHPLrnFe2W,$-1398.12
LV65 LRWC FYI7 25WQ TH8V D,Savings,$55082.55,2020-06-05 14:07:39,15jBS6ys5KoefcaRpubj4w2aAerbLND8Ln,$-1269.54
RO59 QRYD FUYF LLQJ CZUM Q6SK,Brokerage,$42118.81,2019-11-16 00:09:14,1QHYfKb9ZNsw7M946nNCA1dqtmCSodx6L5,$121.70
IS98 3647 1050 2661 5672 1251 69,Checking,$49751.35,2020-02-08 21:11:43,16vzpvQgZZ7i9CC5bnH5G29FnAb4nH5ffp,$-1014.50
BH62 KFPU 1KWZ SCPF X3TV RT,Checking,$82521.76,2020-05-23 09:48:47,1JkJ7gYuwNNyQTypRKnAHMvvMfQahwK5GJ,$-463.65
BG34 GJUC 6608 67XM 18NM UM,Savings,$38508.58,2020-05-04 01:31:47,1ErLNJWZndGUwbeP2egYpgMcVGztRsUoQN,$-1068.21
DK23 6116 0177 0050 71,Checking,$79881.00,2020-05-06 03:11:40,1EE1UwYsNTTf6b1HWCowYYGtSjcrJbTJgE,$-1141.62
FR59 1441 8948 957H JIG9 ECCO Z22,Brokerage,$87689.74,2020-02-10 18:41:36,18EC9m3k1zFskKkkK6UiM5gnE6Za91fDtq,$617.83
SM13 V008 0218 059N T1OU 1D6Z HF7,Brokerage,$68654.81,2019-12-06 18:09:31,1DkRaMs5VANbjAydGVZcXyKsW8iareoy8X,$-935.57
IE92 IADJ 9399 6352 8039 18,Checking,$28664.82,2019-12-22 18:26:09,12s1972DKFDXUE8mYy7Mjf5XZQaQ7MxeGD,$-533.62
GR83 4299 403L HEB9 KNV0 Y0O8 VYO,Brokerage,$10657.55,2020-01-06 11:31:47,1BPXx2LnQ8J6QbnoA3FDkCMrLZsabc5vDX,$-32.26
PK62 DVZK B6BF OJXL S6W7 UXYZ,Brokerage,$71731.95,2020-06-02 23:47:37,1KzMyGYyyyq9XqjRg2SgrpPEykSYmN2fhj,$-511.57
PT37 3812 0166 8733 2058 0182 9,Savings,$45566.03,2020-04-15 05:47:21,16PRxMAvGwUNNvh5Pd714RuiRmHk43QRqd,$-1336.21
MD15 443O VONO 1LKS 59RE 6QRZ,Checking,$25705.13,2020-06-09 21:48:59,1LUPRYiJ9SLuUS4uCkRRBFKZSg2brLRri1,$-655.34
DO79 0AQA 1422 5936 2762 1976 7764,Checking,$43535.53,2020-05-03 09:13:02,1As34V193qKaNYJB74FBiUnDQPyrTNP4bM,$861.34
SM52 A485 7143 577G L5XJ EYIB DJR,Brokerage,$11240.39,2020-06-03 09:34:15,15iCkAhAKDb5XM947oZmwMwrtnft9oNPLc,$-968.48
AT40 3328 6672 0435 3553,Checking,$62022.06,2020-03-05 20:31:10,1441VxtHXXwcGuPJXFhpeuMJwC5eLMXMji,$-684.10
FR48 0577 0578 98JJ 3LMM WUL1 292,Checking,$63163.01,2020-03-22 05:28:51,1Fs86TdPrd714aVrwBUksH37rdvozyy96s,$73.12
MT63 OOEB 1571 5PCG 5FKH BFWE OGJW B1A,Savings,$23167.07,2020-03-29 18:10:30,15PUaVuHvMCy67HzdZH4bTkPBPUoMdKrvi,$-739.53
FO81 7163 1959 2533 67,Checking,$37778.98,2020-03-07 21:15:25,1AxTcAc1VXEqnUPnuqkmU68MMJJfzB2ZAq,$450.94
GE32 ZT02 0481 3413 2888 66,Brokerage,$40916.39,2020-05-24 14:55:01,18TjBfH6dZfnE1VqzYu1QqJS3qEQZMKjEB,$163.34
MC04 5241 4728 52ZX NIDN ZOHG Z71,Brokerage,$54411.38,2019-08-27 00:49:56,18E5PqNMtNuE4LF5GfvNupRUWwV22SW4Su,$674.03
CZ76 1310 1795 1422 0922 4461,Savings,$82942.66,2019-10-06 08:41:41,12SwJHX7dsc8Zy3ac6rQiipFhV7UK9MC8F,$249.27
SE90 6936 1453 9271 8926 9185,Savings,$73657.10,2020-04-23 21:25:35,1CywF6rR5hdAxF6Ne13PEEuHm2UqpFtkab,$-114.44
AT02 7749 4545 9115 5782,Checking,$36739.58,2019-11-16 03:47:01,1FwMwtLWsoTtk5y4qqmV1YQXmVQDLvF1qc,$787.75
IE21 POTI 5966 2996 7799 32,Checking,$41980.07,2020-01-04 18:43:58,1DcS3jrkuqdfU2K6uZQYPVodsmSi3hCyPf,$-110.36
HU61 9690 4357 2955 5220 1982 4399,Savings,$87838.20,2019-12-29 01:34:28,14FwWcJB3bgCHiqkxEGAsWi2Z9rVTGBmj1,$-1432.08
GB12 HKZI 2744 7419 2721 37,Savings,$46347.60,2020-06-04 23:58:35,14UqTiu2GpVRo6g6RHyot2Kpaf1eWC3g33,$699.11
FR14 9687 5736 56CR UIKO K2WW 231,Savings,$58117.48,2020-03-13 21:50:22,1HHveusQs2GeFjGYj84VZDQakKQdBz136o,$709.36
FR97 4306 5154 05WZ 1PT2 CMQK V14,Brokerage,$75170.33,2019-08-10 01:39:15,1CotKp2cBRNFSMTK4cvLSoUUxYHYTELrv1,$-422.88
FR91 1127 9811 08L3 UKVH 5COS G44,Savings,$89325.68,2020-04-23 20:36:53,1LgsxdakgqvMpWLaHQUiUyUQKQHHneSWpn,$-112.23
CH34 0103 9P8C L93U J7OW J,Checking,$71425.38,2019-08-04 13:23:15,1RCHJv3gRPpmbTarf38EBZNZmco92XjFP,$-1213.19
CZ50 6345 0026 5303 7508 3542,Checking,$83145.69,2019-10-21 01:39:59,18uxGQutKuQ6SUzi3HqbNYjuimqouwS5iZ,$-436.74
SM03 G952 5864 518P JIVQ K4RE NY6,Brokerage,$60327.00,2020-05-24 15:18:41,1CjaqFWbSMFeZmLoHpPQNr6jbHa2NyczDV,$-341.59
FR07 2324 7525 67RX SCWW QG6F N92,Brokerage,$91191.65,2020-04-23 06:12:16,1JSCBZctanHbJBo7FE9yVCxsZJXGwc9igc,$645.23
GB51 NAGS 6075 3455 9994 25,Checking,$37383.68,2019-07-30 11:59:04,1NnFvWiAYszkTcXYd7mnc3MB8M5btUuBeL,$-1232.17
LB52 4879 RIS0 R1B2 OYZB UCZJ 4X7K,Checking,$50462.83,2019-08-29 04:52:32,1FAGGgGjBSbq96yp5WPmRJzSubKofSn47j,$87.92
IS18 7639 9302 7893 8339 7621 61,Checking,$27164.97,2020-04-14 05:06:38,171KhaXA1FvDM2jmauE1X8u52kFmmRrTZS,$239.56
KW96 FXIQ U8TI KNDB 0ZY9 SYR2 F7TI NN,Checking,$96689.47,2019-10-26 23:06:33,1KkPgXQxiZ1SrtM6Y4CrSJCnWVxV2FaG9N,$-403.60
GL90 5599 4852 0284 36,Savings,$43645.66,2019-09-06 19:46:41,1Hbtjn8qT9kWJKAi9J7MvcC4kVSnu2ggL1,$485.85
IS31 6238 5516 6794 0915 2139 48,Savings,$78834.66,2019-09-17 02:25:55,1JioVCcXHhay1gXCZ75kW7T6npDrbuULWm,$-657.61
BR65 2210 8415 7366 2118 5356 003J X,Checking,$57171.82,2020-06-20 15:54:37,1Dmh8Qx5RewJcFnP8EXLQce7kkrVTaD6RW,$-260.68
CR37 7834 0277 8376 9284 5,Savings,$66414.85,2020-05-14 05:54:02,1KbJt2h9S7rgyCCUTihec9VsK4u64c5RV9,$35.12
KW36 WNLE IS9T TR8I DTMI L6L6 HVM1 56,Savings,$48945.63,2020-01-02 13:28:45,1MHVpYrpxa91nAuCtVHrfstir2268ZoQnN,$-1286.39
TR47 0370 1XCH IKNN U6JD T0M1 UL,Checking,$7315.90,2019-10-01 17:57:53,1FmdndCXz16cXfiS2gsRHpLiapgmE3ZyKi,$-318.64
