confirmation_number,tradeid,transaction_date,completed,investor_id
05-885-3053,FR36 2960 5765 11AN 9RXP WNRV O70,1570267975000,true,86849
74-123-6118,ES78 1219 9818 3961 4850 3601,1566105238000,false,71608
35-521-7154,KW57 JRQJ HDW3 XK4K 0UBZ IZG5 QSZJ 7W,1575240528000,false,67126
18-710-1136,GL15 5588 1890 4263 25,1571330325000,false,55984
03-603-5017,BH95 LOTJ UQL7 GRGO 7YRS H1,1574469693000,false,19054
56-101-5892,FR20 3587 1728 87SV TJOU U0G1 J26,1574417163000,false,40061
64-637-0439,GI40 GOZR YZMI YL8W FCPR 5BX,1565747285000,true,61055
10-849-4543,IT95 H655 4110 557Q OLIE MW4Q 61T,1590637151000,false,29048
49-458-7097,HU53 3804 1129 1871 2613 4074 9642,1579486001000,true,92712
41-772-7721,GE56 BP00 2962 6029 5003 03,1571275906000,false,52258
58-435-6800,IE18 SNJN 7057 7769 3862 27,1580746897000,true,83843
82-434-7218,FI91 3545 8975 7665 19,1561526926000,false,62357
66-920-2962,GT54 JFIJ SKHC M6AX U0QA GQWR NB0Y,1586208125000,true,29995
17-526-9708,PK95 TSMP ZALL KVVI GYZC LOMK,1578964575000,true,74854
03-451-4084,PS43 ZZOC AG8J 2IOR FSJV VBC1 D2MB A,1568094677000,true,22592
75-804-4927,MC97 3311 0554 97WG Q0HK BY7J N96,1570833301000,false,92564
37-163-9365,VG33 SQRJ 0226 1088 9496 7331,1587348833000,false,39166
86-799-3825,IL79 5007 1231 9686 0070 660,1576805995000,false,63587
74-219-4977,MT79 MXXQ 2302 0UPP NWEN 3KTV BAA9 PCH,1573000280000,false,51303
16-385-3798,KZ51 497J O0JN IHET XZH0,1590050492000,false,89937
90-870-1205,FR51 1659 9584 81CB 2NWL XCDC N67,1581159256000,true,53860
66-774-4298,ME81 4325 8285 2516 0383 09,1586612218000,true,32246
69-033-2030,DO82 UZMR 5489 8593 0107 1463 3623,1565509266000,true,81852
57-547-0000,FR74 3670 9409 55IY MYH4 QQF9 O20,1579678920000,false,18534
92-747-2716,PT98 1051 8570 3136 0476 6045 5,1565951874000,true,69202
02-371-5354,LI71 1830 2X6V WVMD 483O N,1576980483000,true,54221
18-575-2330,FR56 7937 7052 37OA OQ7I WWD6 Z11,1572021016000,false,89036
85-788-3854,BR73 3700 8740 6062 0188 4564 697J Q,1578676245000,false,61528
21-529-4610,MT19 OFHN 9895 8VBF ZYZZ GZYM VGG0 OQM,1585369152000,false,70691
04-818-1118,KZ35 830J 44HA RQLK 7M9F,1570717167000,true,74502
51-325-1900,AZ98 OQII XOEW LVCV ALIV VZAW ZKRU,1571160044000,false,95891
68-995-8984,BG53 UMHO 0815 42F3 F9T7 XN,1591633827000,false,80747
96-446-1125,RS66 3081 8153 6440 6677 21,1576928091000,true,45835
60-010-3576,BA14 8471 5192 2344 1172,1580295695000,true,51424
37-241-7999,IT50 A842 7818 516M Y6HL 01OS 5WJ,1582685641000,false,16656
05-873-0592,TN14 5075 1935 7113 6578 6796,1586810600000,false,92215
10-631-7229,DE53 4832 4121 1305 0723 32,1584222084000,true,80290
91-212-2315,MK22 324P TUGQ 06CH O46,1576400237000,false,87264
87-052-4109,AE24 1999 4191 2552 0242 726,1568669982000,false,88516
35-237-6275,GR21 2591 459Y AVVW NMLL FVWU MR7,1580192082000,false,20990
00-895-8131,NL81 ELWT 1299 9331 31,1583205737000,false,87853
91-899-2282,FR53 1168 2249 01EA EHW3 2C8M W53,1562907122000,false,54102
28-117-3679,BE09 6815 3567 2669,1565899436000,true,39052
68-233-3867,MK61 114X BPTI QF4E 995,1583906612000,true,87853
82-365-2809,FR28 5821 9484 16ZL SDMI PGIM S64,1578624117000,true,38446
08-530-1170,MD91 MMGC JJCO XNFA PJMH GZ6I,1576417198000,false,68455
27-587-5052,GL68 4008 3875 2989 43,1584089303000,false,65971
00-337-8411,BR49 4596 8879 3424 7298 8650 147A U,1581704929000,true,85689
70-349-9696,MT76 BNJV 0959 3Y5R PY1I 6A5X PC3U TID,1579445476000,false,59070
94-751-9162,CY42 5522 0020 L9JO LFZU FWRB D2HV,1580905229000,true,59817
46-816-9577,KZ26 5156 GGF1 GPKY CEJ0,1573156185000,true,80817
05-190-1088,GT42 ND1H VT8A HBDM UB0D SJGZ A7XA,1567988381000,false,25546
96-792-5919,LU93 973P 0XCD 9HYM RVZH,1569418229000,false,30426
39-801-8358,MK24 929J XHS2 94QC C96,1581136404000,false,23764
74-327-8577,GE96 PQ33 9267 5879 2605 98,1592271104000,false,96814
11-655-2120,BE14 8456 9359 8814,1575370313000,false,52464
37-280-2122,IL54 9082 8744 1107 8400 593,1562390627000,true,13357
83-551-3611,FR60 0849 9025 48SE GDBC RGIF I69,1569280731000,false,25221
49-326-2230,FR97 7764 9697 07MV WHSE XNEI L30,1583270673000,false,48294
69-287-0191,FR54 9813 9047 8186 K47Q EM58 Z28,1590435770000,true,15683
51-821-1271,ES38 3465 5853 2269 9657 5788,1561820575000,false,76799
95-935-0194,ME94 6998 7100 6078 8777 67,1585927072000,true,76861
33-307-1863,IL20 6948 9253 5872 2804 049,1569940670000,false,73808
17-884-5111,GE76 UI39 4829 9994 0254 14,1569795185000,true,32945
59-455-2265,BG20 HCOC 9701 04HT ZHBT R0,1570615541000,true,32841
95-281-6793,FR62 5934 7578 35FE 4F5J 6SD0 Z47,1585992408000,false,71686
89-220-5418,NL08 QMHI 1727 3650 49,1572846841000,true,91930
70-953-9768,GT52 3PIG NOT5 9KM1 EFE9 T6LG WBRI,1566284875000,true,47264
84-145-6070,GB60 HMUI 0184 3134 3989 53,1574745124000,true,32268
54-932-7124,FR12 8234 8551 86QV I4J5 2GD3 480,1565678814000,true,99155
69-424-6281,CZ81 5940 4488 0292 9167 1760,1565328188000,true,29163
51-421-4736,MC54 2669 6702 73I3 NX9D 0AUY J22,1571020973000,true,33156
53-098-2003,ME04 8036 2973 9329 0991 87,1568579433000,false,64422
06-500-1279,AD37 3750 3620 ARWF CEZM ZYD5,1575276455000,false,95038
79-374-3860,PL60 1657 7049 1476 8231 0196 2786,1580801042000,false,73839
78-034-5801,BG16 QZQE 3764 09KJ OZK4 WT,1578601710000,true,33492
54-736-5706,LV64 EHSH V2N5 RYBY L9AV D,1570974874000,false,77575
11-505-9632,GE35 PO23 1745 4338 5142 31,1584497559000,false,11207
69-676-1100,FR95 0395 9767 72SL GOEB R95N E38,1579804164000,false,29879
80-330-3167,AL67 3253 9926 OH4Z KSIP TZMI 08EJ,1569521425000,false,57038
36-306-4609,LU88 831F XFBT RX2U DAQD,1574978446000,true,24638
47-222-8635,FR09 8462 6485 36AT P1L4 SBEN I12,1592684326000,true,78377
50-086-4688,PT52 4423 4494 4885 4704 4405 4,1562271478000,true,97566
49-384-4882,LI39 6013 7EOT ZEMZ 7ABT U,1575044198000,false,53512
16-187-0914,FR97 0607 8680 52HL OMK0 WBEY C87,1581388640000,false,75798
51-664-2434,RS27 8817 8652 9535 0558 03,1572914793000,true,62205
48-307-0527,EE91 3255 7970 2843 7774,1590718303000,false,82648
28-568-4387,DE63 7187 9232 7622 6515 39,1588746806000,true,20116
17-401-2331,GE87 TO34 2160 6700 1269 65,1587013453000,true,91613
41-904-8287,LB02 9967 PHKZ ECU2 IHZ7 T48W TZNF,1569820964000,false,11033
16-805-2164,DK72 2261 9747 3917 58,1561438195000,true,84316
04-161-2442,PL03 2605 2848 1392 8375 3322 7764,1591123554000,true,56207
14-829-9035,AE40 5364 3903 1224 9560 865,1589961852000,false,93802
05-188-1796,FR46 4819 0308 78BG IMIN GWT7 M56,1569395548000,false,89607
87-493-5519,CZ58 6528 6060 3869 4435 3428,1579939531000,false,20352
14-010-2597,MK12 145C OKE5 AVHF 291,1581281768000,true,41973
57-791-9966,CY47 1972 2056 XM5D 3MHA M5F4 SCLY,1581505396000,true,52071
45-131-6190,BH44 AIRE TEGZ ZBAK FKDR RK,1575498979000,true,79207
50-290-9502,FI50 2093 3872 8945 12,1567818182000,true,42543
14-369-7725,MU45 IIIO 8375 3168 6126 0544 195J BI,1588627480000,false,38309
16-811-5703,LT90 9155 9619 6126 0819,1591614284000,false,39061
55-440-7365,SM09 A445 8706 377D ZEPQ I28U PPT,1578780813000,false,48188
16-253-2824,FR64 3757 3517 32PC Y1GM MAVW U44,1584493183000,false,35879
63-539-0379,KW97 KGVB AWAL R0SW VOH6 XLOQ 8HBB JT,1574248034000,true,92903
09-258-3869,CY26 1246 4308 P14O DPOC VXV2 EOLM,1584482716000,true,99009
84-001-5821,FR71 6250 6236 59MM NXAS K98Z C42,1570987808000,true,88518
69-780-2152,GE98 TZ14 5476 7102 2691 54,1592828747000,false,61466
48-171-4065,FR79 2360 0253 37DZ SJ5N K3LM L41,1581176739000,true,60537
53-153-8429,CH82 0999 39VV CA1K 8I5L J,1592066248000,true,63802
89-860-1520,SM20 D293 3739 297O H41Y DRJ3 8JN,1588910149000,false,51613
40-347-5056,PS59 YTDX QWUM MHTY VJJY PHAY KN0R M,1575728333000,true,47561
18-352-2927,BA66 0004 1423 9971 6064,1589924090000,true,40000
09-376-7097,FR98 0127 7212 6936 SARL 1XJE W31,1582940896000,true,89183
65-533-7135,LI11 8230 3E9C DLQM KAPI B,1584178319000,true,16157
07-041-8493,SM42 P978 7420 169C WVJI 4ORW BMO,1565170445000,true,50859
74-141-5131,FI55 2621 0905 9838 70,1566809400000,true,57751
99-658-0760,LU85 377U FPG8 J3AK AT9Y,1564811944000,false,59299
